role,atom_id,x_A,y_A,z_A,is_gb,first_neighbor_count,distance_to_nearest_gb_A,bulk_distance_rank,wagih_delta_e_kj_mol
gb_sample,138432,148.4880066,64.4611969,113.0569992,1,,0.0,,-16.0350876
gb_sample,452961,159.8000031,126.2399979,166.9120026,1,,0.0,,34.9619904
gb_sample,312776,3.69818,100.737999,54.9275018,1,,0.0,,14.1175308
gb_sample,122479,78.6327973,99.5289994,74.3687973,1,,0.0,,30.1005955
gb_sample,171961,126.2659989,181.0800018,118.2679978,1,,0.0,,34.1886101
gb_sample,117447,74.3320007,80.9884034,120.8679962,1,,0.0,,8.5922261
gb_sample,307368,177.5269928,88.8348999,63.2781983,1,,0.0,,-8.1375618
gb_sample,67290,5.8098402,107.2710037,193.4440003,1,,0.0,,7.0370307
gb_sample,212723,195.1459961,97.7026978,154.9589996,1,,0.0,,25.6909409
gb_sample,31668,173.8699952,124.7129975,169.8410034,1,,0.0,,15.8210535
gb_sample,296900,177.9069978,52.1944008,59.0788002,1,,0.0,,4.0125523
gb_sample,190117,129.2920075,195.5950012,181.5800019,1,,0.0,,25.7019348
gb_sample,185835,99.4088974,73.4244995,163.4329987,1,,0.0,,-11.1189175
gb_sample,73474,66.9110032,131.8860016,22.5569992,1,,0.0,,29.1477528
gb_sample,131660,31.0956993,102.3539963,100.8410034,1,,0.0,,-3.8623618
gb_sample,155995,165.2250061,27.0326996,131.6410065,1,,0.0,,30.4007187
gb_sample,185947,106.4889984,54.580101,200.1600037,1,,0.0,,6.8526764
gb_sample,219584,176.0910034,53.6870995,139.9980012,1,,0.0,,27.1074944
gb_sample,337201,4.3122201,193.0099945,146.5549927,1,,0.0,,20.447361
gb_sample,225252,152.5200043,27.6895008,124.3389969,1,,0.0,,19.6544876
gb_sample,202151,81.6987992,19.6952992,15.6567002,1,,0.0,,-15.6714945
gb_sample,335417,195.4190064,197.8470002,146.4909973,1,,0.0,,-17.0742226
gb_sample,211550,55.2117005,26.2240009,146.5220032,1,,0.0,,2.0473416
gb_sample,304478,11.0158005,58.5199013,3.4035699,1,,0.0,,2.4393077
gb_sample,149883,131.9640046,11.191,93.7904969,1,,0.0,,6.3015766
gb_sample,250747,58.9300004,109.5080033,168.1900024,1,,0.0,,-1.2634652
gb_sample,149736,3.8304601,80.8281021,141.4709931,1,,0.0,,-7.1435032
gb_sample,385652,78.6296997,155.852005,70.3781967,1,,0.0,,-1.4188998
gb_sample,184731,139.7640076,8.5311604,179.9660034,1,,0.0,,33.6982422
gb_sample,241756,60.549099,158.6979981,120.2649994,1,,0.0,,-2.6671858
gb_sample,47692,33.4154015,61.558899,189.2070007,1,,0.0,,40.0171776
gb_sample,172852,101.6949997,8.2916203,47.9634018,1,,0.0,,-9.1660948
gb_sample,78130,109.2139969,88.5413971,59.5658989,1,,0.0,,-24.1454659
