atom_id,delta_e_kj_mol
1957,-0.1247317
1958,25.8280163
1959,2.1078374
1978,13.7953272
1982,10.5614233
1983,39.6992913
1985,23.2279396
1986,-7.4231129
1987,6.1280079
1988,8.6231356
1989,16.242794
1990,27.61059
1991,21.1511555
1992,59.5991478
1993,-1.8808398
1994,5.3363204
1995,41.814354
1996,16.0175133
1997,-0.5290695
2023,22.4832192
2026,1.5377993
2027,18.4124184
2030,3.3436911
2031,4.1630673
2032,8.8758536
2034,0.2070674
2035,3.819253
2037,23.7330303
2038,29.0464249
2039,-16.437479
2040,15.0029669
2041,37.7354927
2042,16.1661358
2043,-6.7507401
2044,-0.130119
2045,30.3897209
2083,20.0019703
2084,6.8986306
2086,13.055294
2087,32.5028458
2088,38.9400788
2089,18.1211758
2090,-0.4257089
2091,-9.0612707
2092,42.4951134
2093,-10.704463
2094,9.3078852
2095,10.427001
2096,8.252903
2097,19.4114895
2098,2.6439483
2099,2.011827
2100,4.730599
2139,-0.1406237
2142,3.5728994
2143,-8.8752756
2144,47.8551598
2145,21.1446514
2146,22.1296101
2148,-8.370863
2150,11.2355681
2151,40.4258003
2152,-8.2051525
2153,-19.9431058
2154,-12.3776665
2155,2.1822374
2156,-7.2018743
2157,-14.5029307
2158,2.3370083
2159,7.3393293
2200,-14.6939287
2201,-8.6235142
2203,-20.6302471
2204,-4.7537933
2205,-6.4536042
2206,-15.3746796
2210,21.0354633
2212,-0.6746063
2213,-10.4897633
2214,39.1166916
2215,16.6697178
2216,-2.6888242
2217,-7.2624459
2218,-3.9041964
2221,-3.5458305
2261,3.783742
2262,0.571371
2264,23.5184517
2265,9.6614285
2266,7.0559115
2267,30.1100826
2268,-16.6346665
2269,0.0253446
2271,0.3604499
2273,4.3521838
2274,-14.6738119
2275,-2.7365196
2276,13.0908079
2277,5.1433754
2325,6.8242431
2326,1.0143631
2328,17.6266632
2329,5.7712732
2330,-5.1288042
2331,21.0536461
2332,-3.4493912
2333,-10.9533968
2334,-6.4854512
2335,18.6758576
2336,32.1464233
2337,14.5379877
2338,18.2482605
2388,20.3686276
2389,29.9958612
2390,21.2420159
2391,0.4238691
2392,-14.1894512
2393,-16.7387352
2394,-15.7939644
2395,-14.2789698
2396,4.1310015
2446,-7.0466456
2447,-10.5844269
2449,9.1027746
2450,3.5466554
2451,24.3025818
2452,11.0736313
2504,16.5709896
2507,8.348362
2508,18.1925373
2510,28.1084175
2511,41.8214226
2512,-14.2240954
2515,-5.8838564
2518,9.0646887
2519,4.176218
2551,2.0634508
2554,6.1538181
2555,-2.4464486
2558,33.8435822
2559,6.9927864
2560,1.9922606
2561,8.0686779
2562,39.8853456
2563,1.1260338
2564,-13.4219027
2565,14.8885366
2566,20.6009732
2567,16.0367069
2568,57.3286553
2569,-8.7483654
2570,15.818346
2572,2.4430747
2573,6.0308418
2574,18.946663
2575,31.5859928
2576,7.6447048
2577,-9.0593395
2578,-7.7874594
2605,9.8925982
2608,23.5780697
2609,10.0881767
2610,24.6950016
2611,10.3756247
2612,10.9530468
2613,41.4554329
2614,14.827776
2615,14.0786438
2616,-8.3502627
2617,15.5991383
2618,10.8387757
2619,21.6316853
2620,-29.6603928
2621,33.5416374
2622,9.1075325
2623,-5.1845808
2624,-11.2562895
2646,17.937626
2647,0.8832884
2649,2.2181976
2650,22.0538559
2651,22.3354969
2652,-1.0858755
2653,-1.3581747
2654,-22.0546455
2656,6.7365742
2657,0.9717776
2658,8.206584
2669,32.8325272
2672,37.8445206
2673,1.9673234
2674,37.4392319
2677,11.7335205
2678,29.0179443
2679,2.9681356
2680,31.1613731
2681,4.5472889
2682,35.1233749
2683,3.1116688
2684,30.1380043
2685,15.9885274
2686,22.343523
2687,23.8919126
2688,46.1486359
2689,16.5522576
2690,24.938715
2691,8.1369734
2692,15.0077553
2693,-0.5498383
2694,16.9614658
2695,31.105093
2696,10.5889349
2697,9.4727831
2698,22.92523
2699,47.6300049
2700,11.0645018
2701,14.9179792
2702,22.3985119
2703,2.9224048
2704,36.1031342
2705,20.1448689
2706,-15.5388432
2707,-14.781291
2708,-6.951409
2709,0.7470326
2710,30.7012463
2711,17.2566223
2712,-16.4035225
2713,7.2903109
2714,11.9155188
2715,-0.7757939
2716,25.3076096
2717,8.0875216
2718,37.6653023
2719,51.4097977
2720,-19.678711
2721,9.0862694
2722,39.7558136
2723,-1.2558296
2724,24.0601406
2725,-8.6945172
2726,0.4851811
2727,-15.0810204
2729,11.4183331
2730,-23.8576566
2731,25.9463826
2732,1.6738479
2744,8.985219
2745,17.3226528
2747,11.8539678
2748,20.0310059
2749,15.286376
2750,18.6515885
2751,12.7163754
2752,29.4238606
2753,4.961165
2754,23.0137768
2755,-24.7505093
2756,45.754303
2757,-18.4354172
2758,-0.2128859
2759,-0.2264228
2760,-3.05405
2761,36.6253739
2775,16.9126968
2776,18.8233586
2779,21.2679482
2780,28.4033165
2782,29.9250394
2783,26.1676807
2784,18.7177391
2785,5.5386815
2786,-0.4126068
2787,-6.8019562
2788,37.3977471
2789,34.1245689
2790,19.1137199
2791,20.4562168
2792,11.2137308
2793,12.0342627
2794,-9.6820154
2795,27.4746857
2796,24.2228432
2797,11.2225142
2798,5.1279154
2812,14.7296906
2816,21.8616924
2819,0.7350232
2820,5.3252053
2821,8.5078821
2823,-3.6857751
2824,-10.9139024
2825,7.293138
2827,15.0176916
2828,23.9225694
2829,8.1903687
2830,34.9860802
2831,36.5051918
2832,13.0316248
2833,-11.2929001
2834,27.5122872
2835,2.4819944
2836,51.5485459
2837,18.6312065
2838,8.2619906
2839,5.6953039
2868,17.0784664
2869,-1.0546985
2871,14.8281212
2872,16.5999699
2873,18.373518
2874,7.9249506
2875,-0.0326361
2876,-1.9163532
2877,0.3309077
2878,1.7185874
2879,-22.8674088
2880,9.0000143
2881,18.351574
2882,10.5407477
2883,-17.6024781
2884,12.0718012
2885,22.591959
2919,28.3312988
2922,14.532712
2923,14.5874605
2927,10.5815392
2930,33.6987305
2931,9.119834
2932,35.3118286
2933,9.5954933
2934,25.0069752
2935,16.0438366
2936,7.7942581
2937,-19.8667526
2939,18.9919492
2940,28.5054913
2942,14.8143139
2988,-4.0272684
2989,26.5073529
2991,31.9172994
2992,-10.190238
2993,-0.485939
2994,3.4185717
2995,14.716095
2996,52.1251106
2997,-2.1301794
2998,30.2748623
3000,-3.718231
3001,-1.0805267
3053,-8.953724
3055,-5.5858517
3056,-7.3609347
3057,21.1916485
3058,7.0653696
3059,15.4348126
3061,34.5481224
3063,-3.849604
3064,-19.956707
3065,-9.2215033
3067,13.4407501
3068,-14.4483071
3071,8.0341806
3072,22.4679871
3123,18.2503357
3124,38.4932671
3125,26.8844166
3126,4.6512862
3127,9.2736111
3128,15.432025
3129,6.4157887
3130,34.3729477
3132,38.8310585
3134,18.0268364
3135,38.0817261
3136,8.579526
3137,15.0798311
3138,6.7837844
3140,-4.7003241
3192,-10.53123
3193,-17.1426563
3195,37.3317871
3196,37.2533264
3197,35.7193032
3198,36.4744454
3199,6.6534934
3200,25.2064304
3201,-6.9679246
3202,26.4662552
3203,12.8855916
3204,-20.9058456
3205,-5.3927355
3206,-21.6891384
3207,40.557087
3264,-14.2133684
3265,-9.0992613
3267,41.0616455
3268,13.7690678
3269,16.2038097
3270,-7.1919584
3271,-0.8049644
3272,10.6624155
3273,-4.6346054
3274,-2.0248559
3275,11.9394836
3276,22.1659832
3277,-3.0090425
3278,21.159792
3336,-10.4467335
3338,4.8531948
3339,-0.9356778
3340,19.8593044
3341,6.940282
3342,58.4512024
3343,28.5202294
3344,12.2417059
3345,21.8727304
3404,28.0760574
3406,13.8073893
3407,21.8867836
3463,6.909185
3467,29.1718197
3468,0.2688576
3469,-4.7935605
3470,9.3819418
3471,19.693182
