atom_id,delta_e_kj_mol,pe_eV,bulk_reference_mean_pe_eV,bulk_reference_std_pe_eV,bulk_reference_count,x_A,y_A,z_A,first_neighbor_count
27695,-22.47061662939336,-154411.470757652,-154411.2378661219,0.0008000420913028195,50,54.73863768155121,3.490435716874135,6.825039332475641,11
38906,-15.925026708608733,-154411.402917393,-154411.2378661219,0.0008000420913028195,50,72.06049405214486,62.021910183799676,78.19008433257905,11
33923,12.591214647548359,-154411.107367378,-154411.2378661219,0.0008000420913028195,50,65.86856744381093,15.666281034954972,2.3596741171051896,11
33997,-0.6478517361864597,-154411.244580632,-154411.2378661219,0.0008000420913028195,50,62.054420973685076,63.12661719889142,58.35471259170086,11
24891,-18.73210033484263,-154411.432010661,-154411.2378661219,0.0008000420913028195,50,50.33866122311652,37.1615898993239,93.2538043426099,11
27979,10.72232907661471,-154411.126737012,-154411.2378661219,0.0008000420913028195,50,51.325160385267,21.347947057681484,80.2956347030658,13
36222,-7.400870264846212,-154411.314570737,-154411.2378661219,0.0008000420913028195,50,65.4047286401199,35.22616232811663,42.21706548512544,11
46519,8.138988437256524,-154411.153511451,-154411.2378661219,0.0008000420913028195,50,87.83431167396769,75.76333260675497,8.043460837537708,14
37642,-20.9986406498791,-154411.455501696,-154411.2378661219,0.0008000420913028195,50,68.1203255631076,55.57551252304363,73.95582137765335,10
25231,8.289958649967746,-154411.151946755,-154411.2378661219,0.0008000420913028195,50,46.95825300882112,95.40377493954017,79.8974141162279,11
6677,15.287621911447182,-154411.079421086,-154411.2378661219,0.0008000420913028195,50,13.033345707590117,13.61687369630688,41.15546192263554,13
32624,-0.6215446247365315,-154411.244307978,-154411.2378661219,0.0008000420913028195,50,61.351293403810125,47.112431704324635,64.56716286692671,13
33335,-5.372036037086924,-154411.293543352,-154411.2378661219,0.0008000420913028195,50,64.91461750256477,21.552320776345994,19.500856837701637,11
46975,-18.955793665832562,-154411.434329079,-154411.2378661219,0.0008000420913028195,50,88.30863410231912,72.23094991982205,48.828019800470386,11
26829,6.5684436201168115,-154411.169789001,-154411.2378661219,0.0008000420913028195,50,49.717897251635144,54.12322731178424,60.794917281823565,11
40264,3.429271435808283,-154411.202324228,-154411.2378661219,0.0008000420913028195,50,77.63587381191405,65.63165225299682,22.30123777424403,11
7884,-4.181019652353357,-154411.281199337,-154411.2378661219,0.0008000420913028195,50,14.328268579149446,85.51779772817929,2.7428930827809515,11
46196,-5.190222550790196,-154411.291658988,-154411.2378661219,0.0008000420913028195,50,88.73134093061715,73.1927249908864,9.019775943392789,13
24189,-0.5623934230727056,-154411.243694919,-154411.2378661219,0.0008000420913028195,50,49.57681017996863,87.7142843665462,8.075034340463041,10
16946,-20.47292478202669,-154411.450053035,-154411.2378661219,0.0008000420913028195,50,32.38449479198739,37.49865500487428,43.76161063904107,11
2839,4.312717382575363,-154411.193167956,-154411.2378661219,0.0008000420913028195,50,1.5536997161980752,74.67067291635074,68.28554545060777,11
50804,8.07871887615073,-154411.154136101,-154411.2378661219,0.0008000420913028195,50,95.3068544094197,6.658269540271471,2.146964308578977,13
39178,1.4520819509681806,-154411.222816353,-154411.2378661219,0.0008000420913028195,50,72.91350076577281,34.6904691956967,62.65450646471962,11
39139,-13.964716947276106,-154411.382600214,-154411.2378661219,0.0008000420913028195,50,72.28332842511358,28.317655054985565,55.38799352583222,11
10008,-11.400540513158878,-154411.356024398,-154411.2378661219,0.0008000420913028195,50,19.572337032384983,90.98994074181971,86.86670631233093,10
40891,-7.340775917495502,-154411.313947903,-154411.2378661219,0.0008000420913028195,50,75.2682708339709,63.62468098384277,53.5429724255095,11
22872,-28.6163879319252,-154411.534454083,-154411.2378661219,0.0008000420913028195,50,43.216366366767616,93.74613544993156,78.61250413210638,11
21409,1.3774739930996522,-154411.22358961,-154411.2378661219,0.0008000420913028195,50,38.33464281690165,57.77421485763539,85.55096819682424,10
19957,-11.375117785246996,-154411.35576091,-154411.2378661219,0.0008000420913028195,50,35.60148640083609,30.793314471213076,55.04611175707611,13
40298,-14.925556283350918,-154411.392558612,-154411.2378661219,0.0008000420913028195,50,75.35010992007162,60.07648420123079,32.85075458246981,11
30517,-4.18081317329362,-154411.281197197,-154411.2378661219,0.0008000420913028195,50,54.239612227807946,65.31036968708108,51.84177352831785,11
39740,-3.6101220186775542,-154411.2752824,-154411.2378661219,0.0008000420913028195,50,74.52924450581845,29.48682869606524,65.9437083240258,13
37430,4.179276818013789,-154411.19455097,-154411.2378661219,0.0008000420913028195,50,70.76012258168932,54.59190634037214,26.899795521368958,11
10986,-5.385796003248842,-154411.293685964,-154411.2378661219,0.0008000420913028195,50,21.6817546760175,92.87185611540984,15.030018545403623,11
43425,-3.121630773058361,-154411.270219545,-154411.2378661219,0.0008000420913028195,50,82.42917074297102,21.38430367819633,57.636680356540076,13
71,1.4925675804202538,-154411.222396749,-154411.2378661219,0.0008000420913028195,50,96.48904673110135,69.66715333474417,20.700088160538396,11
21418,-3.635414973391195,-154411.275544543,-154411.2378661219,0.0008000420913028195,50,39.80482146232916,18.556419365755747,83.75355985993929,13
12555,-1.86907623481503,-154411.257237732,-154411.2378661219,0.0008000420913028195,50,26.70468783983019,84.82672940887811,17.445639000401417,11
21259,-18.78100392713715,-154411.432517511,-154411.2378661219,0.0008000420913028195,50,37.06767590762587,46.05188275133489,63.116524860668214,11
19178,-13.164462969360356,-154411.374306166,-154411.2378661219,0.0008000420913028195,50,35.550112723103865,79.44378355310945,17.05969016834169,11
20095,-21.101738988844136,-154411.456570235,-154411.2378661219,0.0008000420913028195,50,36.79171157835069,15.635450535618661,85.16601852046492,11
7968,-7.0341851893915655,-154411.310770314,-154411.2378661219,0.0008000420913028195,50,15.079593635499853,87.78728027785232,6.296204255487365,10
16920,-10.825765425703782,-154411.350067274,-154411.2378661219,0.0008000420913028195,50,33.30300765204094,1.1832362156151521,74.43462644337524,11
47602,3.2776044061140968,-154411.203896146,-154411.2378661219,0.0008000420913028195,50,94.75580198829361,6.168358088903294,68.3091017434929,10
34849,1.5818152602518984,-154411.221471762,-154411.2378661219,0.0008000420913028195,50,66.09885554302043,18.02128893699819,70.77302861334478,13
28666,-1.168968535009555,-154411.249981627,-154411.2378661219,0.0008000420913028195,50,55.03002062502687,30.577923693830783,34.15735822637075,11
1587,16.35737514656747,-154411.068333875,-154411.2378661219,0.0008000420913028195,50,1.6641530911251945,21.27267780363679,16.39636247897172,10
45166,-3.3527683326495525,-154411.272615117,-154411.2378661219,0.0008000420913028195,50,83.24036582861116,74.76132667668183,62.84967585184305,11
13430,4.2136905309823,-154411.194194297,-154411.2378661219,0.0008000420913028195,50,23.798729329713684,1.9087921749884524,76.01419781398144,11
21686,-15.277468586599971,-154411.396205926,-154411.2378661219,0.0008000420913028195,50,38.68245811849224,78.85481399005202,7.593416534007777,11
14316,-8.666922327711356,-154411.327692442,-154411.2378661219,0.0008000420913028195,50,27.396595773311084,20.114609384222952,57.55013789705744,13
40362,12.858321165427805,-154411.104599014,-154411.2378661219,0.0008000420913028195,50,74.49802371921301,19.06452075526233,82.81141403233424,10
22042,-6.792074931570317,-154411.308261018,-154411.2378661219,0.0008000420913028195,50,43.49347600332955,60.1237033291229,11.429330722364977,13
27429,-0.7427621400345681,-154411.245564309,-154411.2378661219,0.0008000420913028195,50,53.54180462436,31.342698230401776,40.01039796847871,11
21281,-6.019172229119885,-154411.300250446,-154411.2378661219,0.0008000420913028195,50,42.88508595699487,26.954766892609484,95.65211193516562,13
23890,-13.58595518877621,-154411.378674625,-154411.2378661219,0.0008000420913028195,50,49.344057568742784,2.6107186962737217,76.90903095137084,11
24548,2.279641179709114,-154411.214239306,-154411.2378661219,0.0008000420913028195,50,44.28371024636545,77.58074762785122,85.90350192310078,10
29309,-8.228712675700285,-154411.323150719,-154411.2378661219,0.0008000420913028195,50,55.70507857156314,33.14387726796988,25.179828902251455,11
38848,-13.856829554958821,-154411.38148204,-154411.2378661219,0.0008000420913028195,50,72.29506865524202,37.27354023511434,39.008545052067745,11
47032,5.798290366205115,-154411.177771077,-154411.2378661219,0.0008000420913028195,50,88.57776649596768,74.70975129001904,16.080262431811125,11
47668,0.8729869245190774,-154411.22881825,-154411.2378661219,0.0008000420913028195,50,87.27987581586606,74.63001200481101,56.121946321456406,11
19227,12.296303369689586,-154411.110423918,-154411.2378661219,0.0008000420913028195,50,37.09592819656311,19.04019339058214,13.121508606835958,13
18053,3.5952206133593747,-154411.200604286,-154411.2378661219,0.0008000420913028195,50,31.741628910075672,63.7324573261643,54.72507504663075,11
4488,0.5468564677391294,-154411.232198354,-154411.2378661219,0.0008000420913028195,50,7.629418804723065,6.250970604470274,15.799513750366108,10
25827,-0.45661887062779494,-154411.242598643,-154411.2378661219,0.0008000420913028195,50,50.412411980100444,88.53063056673452,81.60678401151142,10
4404,4.102013485521665,-154411.195351748,-154411.2378661219,0.0008000420913028195,50,9.313368825715742,76.03427991144669,23.847854910682987,11
21030,-5.8110752698979775,-154411.298093673,-154411.2378661219,0.0008000420913028195,50,37.978587506254094,59.735192659403836,60.2419948159487,11
42189,43.86282998880695,-154410.783259924,-154411.2378661219,0.0008000420913028195,50,78.71284660610844,9.517727810736124,70.62207634919875,8
16384,-2.6285137309830833,-154411.265108747,-154411.2378661219,0.0008000420913028195,50,29.44853337178422,9.496010552564503,77.78966704721545,11
27048,9.391315079116731,-154411.140532,-154411.2378661219,0.0008000420913028195,50,54.43668664630128,36.77110842240993,51.53166717075867,11
51251,-2.2211317227132863,-154411.26088653,-154411.2378661219,0.0008000420913028195,50,96.52201050413726,96.32616861697636,84.88076011441267,11
46062,1.656857015096181,-154411.220694009,-154411.2378661219,0.0008000420913028195,50,85.40851716921591,66.92296009252959,92.84156828998509,13
35023,4.096632595733822,-154411.195407517,-154411.2378661219,0.0008000420913028195,50,66.42561454450592,23.89623968104318,7.91433103604732,13
