role,atom_id,x_A,y_A,z_A,is_gb,first_neighbor_count
bulk_reference,26441,48.563695940506165,49.58420946365004,48.11165263157071,0,12
bulk_reference,26319,48.31405050754496,47.84095580667964,50.42157959226557,0,12
bulk_reference,26115,48.7000336601947,46.560327034750706,47.77783773823836,0,12
bulk_reference,26297,50.72051961315434,49.521055248450324,50.18827336427461,0,12
bulk_reference,27379,50.99977557137437,48.21299912921866,47.4917609897556,0,12
bulk_reference,24866,46.18612501816604,47.89367311463935,48.3525966914514,0,12
bulk_reference,25176,46.54326530513471,50.181557574240806,50.17076855268028,0,12
bulk_reference,26760,48.91683150651982,51.85386728698871,49.92071376635588,0,12
bulk_reference,26245,48.94460627401099,48.32049367590784,45.44088214971994,0,12
bulk_reference,27258,50.744284996390704,46.4314373489027,49.83350460588573,0,12
bulk_reference,27686,50.97621649725003,51.25928815723567,47.86144407126629,0,12
bulk_reference,24984,46.444527108431416,49.62712082657873,46.02942680792631,0,12
bulk_reference,25293,46.81097937559093,51.922794787370314,47.84833653962145,0,12
bulk_reference,25260,48.65697633782029,50.105436511253835,52.23717855531757,0,12
bulk_reference,26567,48.83283793051875,51.32457767518928,45.79352881352914,0,12
bulk_reference,24663,46.62721083104415,46.65148575591456,45.70598908784147,0,12
bulk_reference,25999,48.453245490608204,44.789416877263676,50.0947153856643,0,12
bulk_reference,27198,50.48123530862321,47.77544548018453,52.488894808237134,0,12
bulk_reference,24257,45.931914014943914,46.14923171943989,50.652641229496865,0,12
bulk_reference,25055,46.284058805837795,48.43311586546148,52.47469133015021,0,12
gb_sample,27695,54.73863768155121,3.490435716874135,6.825039332475641,1,11
gb_sample,38906,72.06049405214486,62.021910183799676,78.19008433257905,1,11
gb_sample,33923,65.86856744381093,15.666281034954972,2.3596741171051896,1,11
gb_sample,33997,62.054420973685076,63.12661719889142,58.35471259170086,1,11
gb_sample,24891,50.33866122311652,37.1615898993239,93.2538043426099,1,11
gb_sample,27979,51.325160385267,21.347947057681484,80.2956347030658,1,13
gb_sample,36222,65.4047286401199,35.22616232811663,42.21706548512544,1,11
gb_sample,46519,87.83431167396769,75.76333260675497,8.043460837537708,1,14
gb_sample,37642,68.1203255631076,55.57551252304363,73.95582137765335,1,10
gb_sample,25231,46.95825300882112,95.40377493954017,79.8974141162279,1,11
gb_sample,6677,13.033345707590117,13.61687369630688,41.15546192263554,1,13
gb_sample,32624,61.351293403810125,47.112431704324635,64.56716286692671,1,13
gb_sample,33335,64.91461750256477,21.552320776345994,19.500856837701637,1,11
gb_sample,46975,88.30863410231912,72.23094991982205,48.828019800470386,1,11
gb_sample,26829,49.717897251635144,54.12322731178424,60.794917281823565,1,11
gb_sample,40264,77.63587381191405,65.63165225299682,22.30123777424403,1,11
gb_sample,7884,14.328268579149446,85.51779772817929,2.7428930827809515,1,11
gb_sample,46196,88.73134093061715,73.1927249908864,9.019775943392789,1,13
gb_sample,24189,49.57681017996863,87.7142843665462,8.075034340463041,1,10
gb_sample,16946,32.38449479198739,37.49865500487428,43.76161063904107,1,11
gb_sample,2839,1.5536997161980752,74.67067291635074,68.28554545060777,1,11
gb_sample,50804,95.3068544094197,6.658269540271471,2.146964308578977,1,13
gb_sample,39178,72.91350076577281,34.6904691956967,62.65450646471962,1,11
gb_sample,39139,72.28332842511358,28.317655054985565,55.38799352583222,1,11
gb_sample,10008,19.572337032384983,90.98994074181971,86.86670631233093,1,10
gb_sample,40891,75.2682708339709,63.62468098384277,53.5429724255095,1,11
gb_sample,22872,43.216366366767616,93.74613544993156,78.61250413210638,1,11
gb_sample,21409,38.33464281690165,57.77421485763539,85.55096819682424,1,10
gb_sample,19957,35.60148640083609,30.793314471213076,55.04611175707611,1,13
gb_sample,40298,75.35010992007162,60.07648420123079,32.85075458246981,1,11
gb_sample,30517,54.239612227807946,65.31036968708108,51.84177352831785,1,11
gb_sample,39740,74.52924450581845,29.48682869606524,65.9437083240258,1,13
gb_sample,37430,70.76012258168932,54.59190634037214,26.899795521368958,1,11
gb_sample,10986,21.6817546760175,92.87185611540984,15.030018545403623,1,11
gb_sample,43425,82.42917074297102,21.38430367819633,57.636680356540076,1,13
gb_sample,71,96.48904673110135,69.66715333474417,20.700088160538396,1,11
gb_sample,21418,39.80482146232916,18.556419365755747,83.75355985993929,1,13
gb_sample,12555,26.70468783983019,84.82672940887811,17.445639000401417,1,11
gb_sample,21259,37.06767590762587,46.05188275133489,63.116524860668214,1,11
gb_sample,19178,35.550112723103865,79.44378355310945,17.05969016834169,1,11
gb_sample,20095,36.79171157835069,15.635450535618661,85.16601852046492,1,11
gb_sample,7968,15.079593635499853,87.78728027785232,6.296204255487365,1,10
gb_sample,16920,33.30300765204094,1.1832362156151521,74.43462644337524,1,11
gb_sample,47602,94.75580198829361,6.168358088903294,68.3091017434929,1,10
gb_sample,34849,66.09885554302043,18.02128893699819,70.77302861334478,1,13
gb_sample,28666,55.03002062502687,30.577923693830783,34.15735822637075,1,11
gb_sample,1587,1.6641530911251945,21.27267780363679,16.39636247897172,1,10
gb_sample,45166,83.24036582861116,74.76132667668183,62.84967585184305,1,11
gb_sample,13430,23.798729329713684,1.9087921749884524,76.01419781398144,1,11
gb_sample,21686,38.68245811849224,78.85481399005202,7.593416534007777,1,11
gb_sample,14316,27.396595773311084,20.114609384222952,57.55013789705744,1,13
gb_sample,40362,74.49802371921301,19.06452075526233,82.81141403233424,1,10
gb_sample,22042,43.49347600332955,60.1237033291229,11.429330722364977,1,13
gb_sample,27429,53.54180462436,31.342698230401776,40.01039796847871,1,11
gb_sample,21281,42.88508595699487,26.954766892609484,95.65211193516562,1,13
gb_sample,23890,49.344057568742784,2.6107186962737217,76.90903095137084,1,11
gb_sample,24548,44.28371024636545,77.58074762785122,85.90350192310078,1,10
gb_sample,29309,55.70507857156314,33.14387726796988,25.179828902251455,1,11
gb_sample,38848,72.29506865524202,37.27354023511434,39.008545052067745,1,11
gb_sample,47032,88.57776649596768,74.70975129001904,16.080262431811125,1,11
gb_sample,47668,87.27987581586606,74.63001200481101,56.121946321456406,1,11
gb_sample,19227,37.09592819656311,19.04019339058214,13.121508606835958,1,13
gb_sample,18053,31.741628910075672,63.7324573261643,54.72507504663075,1,11
gb_sample,4488,7.629418804723065,6.250970604470274,15.799513750366108,1,10
gb_sample,25827,50.412411980100444,88.53063056673452,81.60678401151142,1,10
gb_sample,4404,9.313368825715742,76.03427991144669,23.847854910682987,1,11
gb_sample,21030,37.978587506254094,59.735192659403836,60.2419948159487,1,11
gb_sample,42189,78.71284660610844,9.517727810736124,70.62207634919875,1,8
gb_sample,16384,29.44853337178422,9.496010552564503,77.78966704721545,1,11
gb_sample,27048,54.43668664630128,36.77110842240993,51.53166717075867,1,11
gb_sample,51251,96.52201050413726,96.32616861697636,84.88076011441267,1,11
gb_sample,46062,85.40851716921591,66.92296009252959,92.84156828998509,1,13
gb_sample,35023,66.42561454450592,23.89623968104318,7.91433103604732,1,13
gb_sample,27538,53.04214939500266,8.501362546332086,80.4983313468225,1,11
gb_sample,43981,81.69165588783758,11.759936239995383,0.38072807143843757,1,11
gb_sample,17761,34.16170340944056,15.089808986069885,6.896461043761147,1,11
gb_sample,24513,46.048888669833836,80.64092480813329,23.556295922235492,1,13
gb_sample,44403,84.27269417657776,19.096083471011937,14.882300602753697,1,10
gb_sample,27022,48.26427973410434,51.08187961735217,87.36681038722556,1,11
gb_sample,2390,1.0953087344542418,68.19861840249656,34.16531748680351,1,13
gb_sample,18799,32.076840775107414,52.02045089838093,57.70112358667747,1,11
gb_sample,21586,43.49386276984298,2.706429239946316,16.52293401644723,1,11
gb_sample,46241,88.27143099597306,20.9754678774589,35.029283788489,1,13
gb_sample,49340,92.47399815871933,75.93081506320097,89.19363589936454,1,11
gb_sample,9891,18.175410081004905,76.46826156525844,72.83986224169739,1,11
gb_sample,36913,69.25881353795012,77.37009247496185,77.5440851027162,1,11
gb_sample,371,97.15164860373345,66.31865541651842,27.37968849262507,1,11
gb_sample,16944,30.169688488072758,38.95940203428438,34.702711172984166,1,11
gb_sample,33916,63.07992566912453,66.86000806682009,54.18210135101417,1,13
gb_sample,13959,25.572221702536005,87.94602845765452,80.78649319646568,1,11
gb_sample,31824,59.00250906140973,60.8201763344818,11.5732108493676,1,11
gb_sample,26232,45.33138987662335,18.93867445580001,71.9139383653979,1,11
gb_sample,33591,64.84750642289971,43.626605809356356,47.76984071532485,1,11
gb_sample,936,1.8557195513739144,24.881500277613736,20.029001148763147,1,11
gb_sample,21516,41.76537019675243,31.705835177774564,35.55272925784311,1,10
gb_sample,330,0.4247352076808093,82.7502276324601,83.19024713445916,1,11
gb_sample,39615,73.90141996909087,59.247228124517775,56.309826782876826,1,10
gb_sample,20160,37.37196102160469,67.29660266671735,93.29925717777682,1,11
gb_sample,39608,74.34927500711694,23.715409152759474,58.25546464520723,1,11
gb_sample,42769,80.96456893375404,88.93229828999608,20.50969497660802,1,13
gb_sample,34066,63.88262718696023,78.21978304932091,16.239064463067717,1,10
gb_sample,32881,60.963781101571875,72.86852276128185,33.34768955316588,1,11
gb_sample,12619,23.560169410490552,79.0930321309643,89.82621873514213,1,13
gb_sample,17614,30.708472847032898,72.12659301167707,24.27293452207921,1,13
gb_sample,38193,72.49661954547891,52.25934133362846,27.18881425414665,1,11
gb_sample,30028,59.0588719794796,87.37694724329492,81.92846568983038,1,13
gb_sample,25564,51.0122334541105,89.94201450905288,12.447899414684573,1,11
gb_sample,41730,86.39811211697501,93.54874390692822,74.32817413304855,1,11
gb_sample,27236,49.3233823903373,49.508120804728456,6.697070599999535,1,11
gb_sample,9799,18.13728234873795,88.8688214762179,87.94551266235979,1,11
gb_sample,46958,88.54266295017275,77.2632972768027,87.15242241846519,1,11
gb_sample,43683,84.51247167003417,28.52572107352833,58.29886105167102,1,11
gb_sample,20678,37.45838134689489,74.3024931935463,34.80648439575185,1,11
gb_sample,30225,58.365699850583546,19.832350839260222,8.319344415534367,1,13
gb_sample,32627,65.26857379440695,21.245572057898116,7.5111084453055605,1,11
gb_sample,21056,42.394933488394855,11.231359165288973,18.233195664286058,1,11
gb_sample,15713,30.279794440324867,90.0851306290307,75.58222775851682,1,11
gb_sample,35340,64.23317619122729,39.6066297837318,48.59141231070498,1,11
gb_sample,36833,71.88595037638075,5.517478706122747,87.82540799914774,1,9
gb_sample,38784,72.9190798039813,51.99103605326242,92.51013757693003,1,11
gb_sample,3915,1.897727553722546,93.53537534614482,75.91124872767014,1,11
gb_sample,34804,66.23227636035489,42.832912760688295,26.610267304505232,1,11
gb_sample,47629,89.88739944786013,0.5992528149062077,84.99827707501221,1,10
gb_sample,46336,85.96196882121194,70.03440090346874,18.531339049541778,1,11
gb_sample,23202,42.67631173351961,82.2627678092748,11.231522040396909,1,10
