role,atom_id,x_A,y_A,z_A,is_gb,first_neighbor_count
gb_sample,3574,4.6426892685,78.6996119051,12.4344697418,1,10
gb_sample,45500,58.2869450202,19.7098743471,15.4691319401,1,13
gb_sample,77796,99.6470833672,39.7097984095,35.22869109,1,11
gb_sample,33703,43.1870833529,74.1461346219,6.1426219213,1,6
gb_sample,47621,60.9914684609,97.9073444997,64.9406415333,1,11
gb_sample,66448,85.023752991,84.1337389785,50.3142848534,1,8
gb_sample,8235,10.6460797281,29.9686631071,54.6392010831,1,11
gb_sample,72151,92.4169439781,40.0090795448,20.8097575821,1,10
gb_sample,36821,47.2143581545,26.4631621654,76.9422700635,1,8
gb_sample,63637,81.3844100456,79.6455007701,14.1501141341,1,11
gb_sample,15754,20.1813943225,82.0162922756,11.9660195293,1,10
gb_sample,77570,99.3639566499,55.9990942249,27.8293537143,1,10
gb_sample,5118,6.641978947,80.2036161159,48.6173950991,1,13
gb_sample,8146,10.5193909921,10.4578068148,78.7440617323,1,8
gb_sample,37536,48.1263042291,53.3280397566,58.2993291036,1,11
gb_sample,70946,90.8666019481,88.886411636,36.711513769,1,5
gb_sample,39218,50.2740340418,88.9846544376,1.281704095,1,10
gb_sample,49162,62.9835783517,3.6771673784,8.2683900093,1,11
gb_sample,67390,86.239112707,83.6247520915,45.3746205824,1,5
gb_sample,66588,85.2090195107,44.8370691489,7.5105139817,1,8
gb_sample,66109,84.5802644814,24.9375270426,93.6986272084,1,10
gb_sample,38358,49.2002781616,57.2181637478,61.4377945447,1,11
gb_sample,26244,33.6114537981,80.8442840644,87.2903734033,1,9
gb_sample,65092,83.2624170507,39.1027804021,21.3725373777,1,9
gb_sample,77149,98.8278160565,91.9282927919,22.8272128357,1,8
gb_sample,65682,84.024950864,42.6758453291,59.9804733341,1,10
gb_sample,38643,49.5610378069,55.6028574436,52.8401496868,1,13
gb_sample,63264,80.9082914211,53.1125107383,66.9392161599,1,10
gb_sample,37871,48.5432503726,50.9919305786,80.6226808144,1,9
gb_sample,76374,97.8491257306,10.7487567755,23.2005406375,1,9
gb_sample,51456,65.9374332525,11.7405856499,58.861809917,1,9
gb_sample,29136,37.3241815899,37.8798853491,70.3423608786,1,9
gb_sample,41837,53.5980378306,82.5551968593,52.7983895247,1,9
gb_sample,40478,51.8875421075,37.2973327485,18.4545469703,1,11
gb_sample,3878,5.0317653948,89.7556174806,77.8263179888,1,10
gb_sample,34975,44.8279162176,95.2662157711,14.6952828485,1,9
gb_sample,48093,61.6057666535,13.0486035901,13.6198327842,1,9
gb_sample,56714,72.5968011282,51.5841848119,25.9220028371,1,11
gb_sample,25865,33.119050802,38.6505938364,62.1774147071,1,9
gb_sample,34640,44.3732184048,62.8884084128,53.9793944453,1,10
gb_sample,44187,56.5947292861,10.8468557587,91.1426545902,1,9
gb_sample,56380,72.1736720493,65.2163773686,29.9891609825,1,11
gb_sample,64710,82.7519205812,52.7744747133,77.839530329,1,13
gb_sample,22936,29.3557851369,36.100034969,71.8444676114,1,9
gb_sample,70338,90.0635761047,30.1972685441,34.883839246,1,9
gb_sample,72394,92.7337362533,68.2104697806,87.5911266078,1,9
gb_sample,25018,32.0165472437,29.5088822214,9.8345067966,1,8
gb_sample,1041,1.373830067,86.2095187082,36.9269818904,1,10
gb_sample,72522,92.901069366,55.8000871558,25.0885791183,1,11
gb_sample,41994,53.8182555193,75.0977473661,52.2027904807,1,13
gb_sample,11302,14.5230383365,71.1984872897,60.1311362574,1,13
gb_sample,11879,15.2464694654,64.1029770144,7.1892938143,1,9
gb_sample,67878,86.8674959322,33.6680532105,56.0657040327,1,10
gb_sample,29764,38.1308941918,87.4107490751,18.1583557415,1,10
gb_sample,55086,70.5314202879,70.8826146792,58.0207188463,1,10
gb_sample,39412,50.5148603403,26.7159611812,4.5511016918,1,11
gb_sample,34230,43.8373035295,93.6201563401,29.4149359712,1,10
gb_sample,44350,56.8082037383,91.38185798,90.9262865418,1,9
gb_sample,24183,30.951373363,7.33022277,80.7449963735,1,11
gb_sample,77964,99.856912131,38.9725489752,9.9347731295,1,9
gb_sample,52935,67.814918021,95.0399569563,46.532646752,1,10
gb_sample,21337,27.3170652301,41.3982847343,26.001490864,1,9
gb_sample,29134,37.3220250661,2.8701984728,79.1349287643,1,11
gb_sample,20783,26.6105325412,48.77699568,65.0487358087,1,9
gb_sample,51977,66.6104122989,65.4377272007,48.3407289235,1,11
gb_sample,9779,12.5961980386,74.8503535479,23.913029413,1,8
gb_sample,37184,47.6718850671,43.9659814281,84.0266142617,1,8
gb_sample,4123,5.3519592401,40.5916852303,39.078792209,1,9
gb_sample,49510,63.4096547775,2.4709509378,66.2076245827,1,11
gb_sample,33591,43.0494181533,91.8264645269,85.0274809665,1,11
gb_sample,33134,42.4633969058,18.7182280658,3.8520645668,1,9
gb_sample,11164,14.3461990656,79.4097821294,55.2927692433,1,13
gb_sample,23075,29.5339514902,84.0862152991,8.4623894796,1,7
gb_sample,26421,33.8526223833,66.7841873386,7.6982714973,1,9
gb_sample,32845,42.0589089038,24.6645245008,46.9430977562,1,10
gb_sample,38152,48.9181514475,20.0817625839,20.2823760262,1,9
gb_sample,57300,73.3257108835,58.1132468947,89.30905612,1,10
gb_sample,38659,49.586584223,84.6433370777,1.8134124997,1,7
gb_sample,35068,44.9413417786,28.2571286782,41.9909705923,1,10
gb_sample,56644,72.5114459882,63.6576065269,58.9375944641,1,9
gb_sample,36773,47.139750133,89.4257378688,73.5913406316,1,9
gb_sample,51493,65.9883027427,83.8589731086,35.0768186906,1,11
gb_sample,25654,32.8425438255,22.4221236355,26.2438667747,1,9
gb_sample,42004,53.8286455964,66.9758393798,22.073966971,1,10
gb_sample,25577,32.7577397013,98.8427044336,68.6264610601,1,9
gb_sample,66495,85.0820509055,64.671416272,26.5557016232,1,10
gb_sample,32667,41.8257356397,64.595592943,27.6766960205,1,11
gb_sample,41398,53.043377508,73.5832464908,64.8215375504,1,13
gb_sample,7195,9.3148300019,3.2633043173,83.0641779501,1,7
gb_sample,29450,37.7303568367,33.306713259,6.4087409194,1,9
gb_sample,12731,16.3351571305,31.1719453232,92.5731217997,1,10
