budget,method,mae_mean,mae_std,tail_mae_mean,tail_mae_std,xgb_abs_error_mean,xgb_abs_error_std,rmse_mean,r2_mean,n_runs
20,active_bootstrap_raw_pca,6.994990633290101,1.7526421726538473,9.382995385292384,3.1027397940912462,0.01593235983011216,0.014321268484980368,9.14753349098915,0.6516108395605333,10
20,kmeans_raw_pca,6.039817196423838,0.0,6.851718015628552,0.0,0.01765097127515336,0.0,8.046997801142219,0.7423364885536057,1
20,random,6.283034199731235,2.1733278214094303,8.101958971038618,1.8598822496898546,0.024744014506186806,0.017041380531897143,8.33793356547945,0.6964175542436919,20
20,tail_aware_active_raw_pca,5.286777628014226,1.4960548729742218,7.46244515321804,1.64745945526122,0.017727317114188224,0.01187612801150156,7.147118054568773,0.7860867895470877,10
20,xgb_aware_active_raw_pca,5.820886397835093,1.7134765973136146,7.920179709222731,1.9287419157583283,0.018357871251381077,0.009814750210766809,7.7904761195378756,0.7436716020408023,10
50,active_bootstrap_raw_pca,4.449359847049498,0.6329467346522446,6.725342069167121,0.9851396289559146,0.013275026331183595,0.008679769323179041,6.160208823926798,0.8473300496742775,10
50,kmeans_raw_pca,4.667464205538842,0.0,5.525463772915154,0.0,0.0023647530543282613,0.0,6.3691163716339725,0.8385851362456717,1
50,random,4.048635014531215,0.277070095140578,5.86867721763673,0.44775939897843553,0.00901888803556775,0.005526099615640748,5.690271788205833,0.8708508595171203,20
50,tail_aware_active_raw_pca,4.36220297574341,0.3528365698346497,6.052216673852145,0.6110155006074245,0.012344901448266494,0.005010365128940941,6.018820187512807,0.8552791776150659,10
50,xgb_aware_active_raw_pca,4.256515653560668,0.28688099444907184,6.520392339626019,0.8403459985826016,0.01196896731093928,0.00932830683808567,5.944876082404962,0.8589968331432936,10
70,active_bootstrap_raw_pca,4.060612129478818,0.2087030214481203,6.4782171538056135,0.6078326053492062,0.01397588954296465,0.007485605601783296,5.739094900387265,0.8687858375389652,10
70,kmeans_raw_pca,4.3533688672966715,0.0,6.379370623711527,0.0,0.005477324464853051,0.0,6.092922924308089,0.8522809437356735,1
70,random,4.088148691197152,0.337481018790278,5.809917369632236,0.4965219085353601,0.005580878920899221,0.00453161942965081,5.685225041128911,0.8708488863724939,20
70,tail_aware_active_raw_pca,4.157688454563644,0.41638652206214016,5.928705227568677,0.4521922832174151,0.011588610113271076,0.008279624341200777,5.780753033060114,0.8663034155352964,10
70,xgb_aware_active_raw_pca,3.8199853382704356,0.19999900408848884,5.738125741283879,0.3599928592513954,0.012528884024198165,0.006287784214209846,5.47501542968599,0.8806788772877381,10
90,active_bootstrap_raw_pca,3.8300583695344548,0.18494817552089413,6.006166299806332,0.3887866864114889,0.013104412899227254,0.006691711763780956,5.515774555482206,0.8788970467263495,10
90,kmeans_raw_pca,4.104770396040034,0.0,5.368731225637629,0.0,0.0009390149166118578,0.0,5.613666602682465,0.8746055288543677,1
90,random,3.86095496646022,0.21430713173431132,5.739769551415711,0.35020452657363504,0.010080080317506072,0.006394513762383334,5.504464150558231,0.8793197182686032,20
90,tail_aware_active_raw_pca,3.9525288873098794,0.12097639695398095,5.464288841311207,0.17870541896801032,0.007156154561905634,0.004784526158977546,5.589199335154605,0.8756591691135283,10
90,xgb_aware_active_raw_pca,3.847127464551368,0.21643889250154696,5.7977845857153465,0.4205334792963148,0.010976547086413505,0.008159310390185203,5.49523974671609,0.8797064740762212,10
100,active_bootstrap_raw_pca,3.8302831408534663,0.19350405830028355,5.875658579226926,0.3034594375827215,0.009895816333724319,0.004736393774907332,5.447584689698628,0.8818688736358533,10
100,kmeans_raw_pca,3.652271720103328,0.0,5.668781956534925,0.0,0.006003906573089912,0.0,5.254414519413987,0.8901414612396141,1
