method,budget,mae_mean,mae_std,tail_mae_mean,tail_mae_std,xgb_abs_error_mean,xgb_abs_error_std,rmse_mean,rmse_std,r2_mean,r2_std,runtime_seconds_mean,runtime_seconds_std,n_runs
random,100,3.8874140542500526,0.21890910007004,5.736804016577727,0.4121458055020917,0.008870888427261737,0.006729762416055124,5.507591652246717,0.20744242505650776,0.8791369556630901,0.009440611312406914,0.013684864551760257,0.0008552315770454606,20
tail_aware_active_raw_pca,100,4.028183174462866,0.1458940211932373,5.61784524135699,0.27805515188248897,0.011843208709672167,0.008555451713418663,5.686826375615004,0.1052806783961497,0.8712761454485246,0.004757935973100325,0.07612363339867442,0.0013212682413183917,10
xgb_aware_active_raw_pca,100,3.782851418905186,0.21967320413378866,6.010450955529363,0.44621138671718236,0.01617554521348076,0.008876083283674731,5.490821352741657,0.19416134889629086,0.8798985505826982,0.008685034685665291,0.11882063750526868,0.01236677505705169,10
active_bootstrap_raw_pca,150,3.842616400066079,0.08630198356331814,6.444032336636329,0.4647482164366279,0.01771998685035836,0.006817349772654436,5.507265756121496,0.10475996516126293,0.8792746057830174,0.00459813487698821,0.12010350829805247,0.0041107678551461704,10
kmeans_raw_pca,150,3.7198717579868474,,5.764679290719153,,0.004624457903631585,,5.370205063793658,,0.8852462477102236,,9.08770474998164,,1
random,150,3.692962794325988,0.09794922120970517,5.699438949873833,0.2738409196337725,0.01079686874171771,0.005144925643025654,5.3413980003523065,0.07358326979050792,0.8864536111707345,0.0031420369199097404,0.014435864801635034,0.001212973728053853,20
tail_aware_active_raw_pca,150,4.09154049165901,0.24003631547952414,5.455315996633677,0.32291536272234095,0.009716266541071656,0.006769523692421139,5.752938004035054,0.2482282085297684,0.8680857750519053,0.011578070702981575,0.12089778330409899,0.006514152091770144,10
xgb_aware_active_raw_pca,150,3.6948073505134866,0.09265260909265997,5.708369152767249,0.18967755590942517,0.01099095160767218,0.007563052619993438,5.3780194402256285,0.12491583229601315,0.8848561593909479,0.005368295466144182,0.18509027079853696,0.005113428392801538,10
active_bootstrap_raw_pca,200,3.7393281287320193,0.16894877734777614,6.157193624714455,0.2063591570316213,0.018043438206830312,0.006438281812603184,5.438781646387749,0.10081950372320657,0.8822603628753557,0.004430268345935368,0.1844128416996682,0.003611698074346954,10
kmeans_raw_pca,200,3.6270856711365047,,5.6604399567082675,,0.00801879194310584,,5.222267582866883,,0.8914815961322586,,15.71481220901478,,1
random,200,3.7428407389912386,0.1238257067689734,5.563588287233371,0.17708343480247102,0.0067194704687752295,0.004710276136750436,5.328818270644074,0.0749244373268715,0.8869869670083513,0.0032171562697343756,0.013474671002768446,0.0005738220152616539,20
tail_aware_active_raw_pca,200,3.994910891686575,0.10641941136719824,5.375149314716775,0.22525797112854157,0.005058798464163511,0.004943955501637537,5.618515257188081,0.08781342608642705,0.8743612077774919,0.003938989917282959,0.18369029999885242,0.003481873951373784,10
