n_components,cumulative_explained_variance,n_training_sites,n_evaluation_sites,model,standard_scaler_used,mae,rmse,r2,tail_mae,xgb_true,xgb_pred,xgb_abs_error,runtime_seconds
10,0.9988747045486669,82645,82645,sklearn.linear_model.LinearRegression,No,3.5583287363910685,5.149337406319009,0.8944914013352943,5.378884148072209,0.26298367352280055,0.2551661959712546,0.007817477551545937,8.489761542004999
20,0.9995699211592541,82645,82645,sklearn.linear_model.LinearRegression,No,3.4299246285652765,5.007671733120145,0.9002169304672936,5.0026185571058335,0.26298367352280055,0.25612494847890316,0.006858725043897396,7.378399750014069
50,0.9999558355610598,82645,82645,sklearn.linear_model.LinearRegression,No,3.192210769289758,4.748488010490692,0.9102786401397599,4.434717983839568,0.26298367352280055,0.2579183860214794,0.005065287501321181,7.178110667009605
100,0.9999991989057652,82645,82645,sklearn.linear_model.LinearRegression,No,2.912829958919578,4.469286362393429,0.9205193298379366,3.928121246490616,0.26298367352280055,0.25806778347430015,0.004915890048500404,7.236049832979916
