atom_id,delta_e_kj_mol,pe_eV,bulk_reference_mean_pe_eV,bulk_reference_std_pe_eV,bulk_reference_count,x_A,y_A,z_A,first_neighbor_count
13090,0.07698090856402634,-552950.130130394,-552950.1309282449,0.01281383610860636,50,11.062656162455836,101.44747934094492,56.92449854131064,13
154218,11.506254643872136,-552950.011674319,-552950.1309282449,0.01281383610860636,50,126.74850286048408,128.29704566029142,81.01008519094484,13
169798,-24.11429405212862,-552950.380855291,-552950.1309282449,0.01281383610860636,50,136.1425303139439,95.55593643457163,24.262104871165327,11
177633,13.136502368657812,-552949.994777992,-552950.1309282449,0.01281383610860636,50,144.13869689442194,49.056979531631015,106.74545152174065,11
18663,-25.05827383241807,-552950.390638952,-552950.1309282449,0.01281383610860636,50,18.780704635106908,99.347105425779,130.95296827364044,11
117948,-7.731768054381006,-552950.211062374,-552950.1309282449,0.01281383610860636,50,97.95810071030664,14.146638680913895,101.8467232513945,11
57460,-3.0484290827650353,-552950.162522986,-552950.1309282449,0.01281383610860636,50,46.815788373514955,148.73905439384197,108.3569324826053,10
110206,5.366729328685197,-552950.075306015,-552950.1309282449,0.01281383610860636,50,88.2961440401149,5.527606068551645,98.6616620281394,11
54650,-9.864926185104125,-552950.233171,-552950.1309282449,0.01281383610860636,50,43.94537267407189,134.25665692213707,35.09249738848262,11
32644,-0.24842822500754738,-552950.133503022,-552950.1309282449,0.01281383610860636,50,28.598030717769316,122.84985384497926,81.17492227250148,11
122913,-11.392442397696579,-552950.24900259,-552950.1309282449,0.01281383610860636,50,97.21333336918084,70.76776827995131,87.53258328779049,11
79482,12.589486788767413,-552950.000447409,-552950.1309282449,0.01281383610860636,50,66.33053863691858,76.41381586875568,148.36830357071275,13
161437,-25.16319303981204,-552950.391726363,-552950.1309282449,0.01281383610860636,50,132.4155086017727,130.23101405245063,145.48365423425125,11
169948,-2.382263768792744,-552950.155618669,-552950.1309282449,0.01281383610860636,50,140.71045410350308,101.5327429973198,116.29968551413049,11
162668,-0.10064655948992371,-552950.131971373,-552950.1309282449,0.01281383610860636,50,130.68941457965803,28.200819644205556,79.9428051831189,11
157234,-2.3941170877165656,-552950.15574152,-552950.1309282449,0.01281383610860636,50,128.62827455336335,116.67476078810411,138.5471635004448,13
85071,-12.178257151471398,-552950.257146986,-552950.1309282449,0.01281383610860636,50,71.14457781165005,7.175742055978876,44.422450381550284,11
156104,-10.079885853424452,-552950.2353989,-552950.1309282449,0.01281383610860636,50,128.3463148742751,130.04077493182626,38.43777496387699,11
56452,2.8372169827020484,-552950.101522563,-552950.1309282449,0.01281383610860636,50,48.82114760446561,116.92251699113986,52.57671910781359,11
