atom_id,delta_e_kj_mol,pe_eV,bulk_reference_pe_eV,x_A,y_A,z_A,first_neighbor_count
41710,-3.9907880936985665,-274146.708345758,-274146.666984154,52.46928687322183,83.4540307710949,50.25132874375868,14
35465,-0.13270872223776653,-274146.668359583,-274146.666984154,44.343498091977196,30.24615000183019,34.107756165027844,11
57482,1.278830872996745,-274146.653730006,-274146.666984154,73.5839164054954,35.68920077016754,21.106222539128996,11
7819,-2.48221841422964,-274146.692710535,-274146.666984154,8.879848145313495,65.4962759637089,61.63725804244976,13
51195,0.5741360666370626,-274146.661033653,-274146.666984154,63.20918225017555,70.02091469766695,82.54538773137783,13
51055,6.612736287614436,-274146.598447972,-274146.666984154,65.64467464941865,74.84268960919995,3.811475384766494,11
64116,1.688171051390373,-274146.649487494,-274146.666984154,80.0346998909599,87.78568364906243,20.08376969802771,14
34963,0.15832982786180805,-274146.665343181,-274146.666984154,41.55170476008034,96.15433830288313,73.74943323038494,13
40178,3.0255901343440543,-274146.635626122,-274146.666984154,52.591090027330466,84.3902787070687,6.856210707065751,11
15549,9.201737331504477,-274146.571614867,-274146.666984154,20.244281033300204,75.50163004775008,88.72670095046335,10
65498,-2.023773758202511,-274146.687959091,-274146.666984154,82.27220780928127,19.39663353616965,95.08581298177403,13
41844,4.207939343620006,-274146.623371936,-274146.666984154,51.207149688931025,32.64558051561413,14.396953347789994,11
39326,-3.3929712517480675,-274146.702149823,-274146.666984154,47.80041709187684,61.018860812443,8.233059561509746,13
45647,-0.6235350064922712,-274146.673446639,-274146.666984154,57.65994633772359,26.34291960182155,13.924599947025834,13
16018,1.2618291968293305,-274146.653906216,-274146.666984154,19.589452835504222,28.68152053841454,40.80745920161682,13
58340,-1.9114412926621969,-274146.686794847,-274146.666984154,74.55593987294004,25.699242711668685,41.96258081297796,13
76020,7.117861700262692,-274146.593212716,-274146.666984154,96.57375123265298,79.91718808413255,11.75621112471901,11
26250,-1.6051707938390205,-274146.683620577,-274146.666984154,33.10011147201999,49.856465036233516,83.50149710576005,13
23578,-0.4536814567848079,-274146.671686231,-274146.666984154,31.80130245560936,54.53891767403279,14.533749456858024,10
61026,5.692999507735991,-274146.607980372,-274146.666984154,76.62911851892467,50.376171400238256,92.05559434039694,11
53958,-2.3116306100466995,-274146.690942517,-274146.666984154,68.04121512031355,48.396850380726306,84.84291011863975,13
33513,-0.4788585355512156,-274146.671947173,-274146.666984154,41.887469439807546,20.23640518994338,16.396349459291617,11
73692,-1.263412994836134,-274146.680078507,-274146.666984154,92.30689555805803,90.12817330947865,14.175290005566705,13
30467,-1.2692082917193082,-274146.680138571,-274146.666984154,37.21220969932671,40.9854056911418,6.620535445808483,13
34562,-2.7955842445544556,-274146.695958343,-274146.666984154,44.34845466594216,4.1558816648658246,74.52928908555627,13
76737,1.6570760519466854,-274146.649809771,-274146.666984154,95.05381342491897,59.582202412774286,46.88837838588179,11
55957,0.28622460862130245,-274146.664017645,-274146.666984154,69.60884442997083,37.29102301447309,62.14226919092793,13
17133,1.2820775112050136,-274146.653696357,-274146.666984154,22.468511320778216,26.496894945836907,14.498552841592138,11
11716,0.4551010543762836,-274146.662267364,-274146.666984154,13.905130539872697,85.80188809560721,94.80371283644273,13
33296,-0.6494039824631503,-274146.673714752,-274146.666984154,40.23313923320354,90.3859939331328,70.81544819744236,13
6347,3.268781608964497,-274146.63310562,-274146.666984154,6.483345864126669,50.945980847792576,49.835942145876935,11
63248,-0.9828793849171715,-274146.677170981,-274146.666984154,80.07457406162276,64.3740146149494,10.111431838472171,13
9925,1.7132396816148652,-274146.649227676,-274146.666984154,12.623010716917214,19.93774020845428,26.991002648341993,13
17779,4.215209995584254,-274146.623296581,-274146.666984154,22.01623025554724,41.700833778464144,53.44846468076589,10
77204,-1.735624465963393,-274146.684972634,-274146.666984154,96.33333969244158,0.2309662346808139,55.22633912833883,13
38505,1.61363140880221,-274146.650260043,-274146.666984154,45.69227571190555,72.84436208422161,81.27810510029556,13
64029,6.383659460926593,-274146.600822186,-274146.666984154,79.30114771709763,18.72074400213945,56.72439477356381,11
48353,1.590471933442638,-274146.650500074,-274146.666984154,56.34326174893165,31.4159430595558,16.968988469988535,13
49015,2.5325136186633106,-274146.6407365,-274146.666984154,60.56058748149375,29.41422270007957,84.34787941697859,13
70454,3.563541595210303,-274146.630050648,-274146.666984154,87.91610466603096,71.13127889061808,85.05358051775204,11
15260,-0.9726397814202875,-274146.677064855,-274146.666984154,18.87369603379118,90.76080757688052,55.9058772709874,13
35372,-0.9443598331781069,-274146.676771754,-274146.666984154,43.91985417264095,49.91604051575664,73.19299941287332,13
35162,4.356035931123096,-274146.621837023,-274146.666984154,42.797497684238046,35.65755670711391,54.20646150703193,11
55902,-4.889836008762517,-274146.717663733,-274146.666984154,69.89311303497934,33.776962180740185,41.22353828266722,13
59269,1.617268613398382,-274146.650222346,-274146.666984154,74.42250981947832,77.33829176072196,61.846502005452365,11
68959,1.2784118381645655,-274146.653734349,-274146.666984154,85.282313562558,69.84899237662587,71.35277474653141,13
78026,2.3802777058836506,-274146.642314314,-274146.666984154,97.219202216114,13.50833930587819,46.16077777642213,11
65088,-1.5187866104249657,-274146.682725268,-274146.666984154,80.20762625223254,57.94957690921486,18.145203934949613,13
27075,-0.34963621209669987,-274146.670607878,-274146.666984154,34.39878190445968,22.427368532391984,27.100776036284635,13
33252,1.8361188661396912,-274146.647954123,-274146.666984154,43.72026620718497,32.538238973241896,88.18724021088173,11
244,1.200480923743072,-274146.654542046,-274146.666984154,1.1897084587070539,76.97783212828882,86.47314114497617,11
54949,-1.1399797904607476,-274146.678799212,-274146.666984154,69.64271589405132,89.10149200647403,55.65550436560169,13
60132,0.4987049950061493,-274146.661815441,-274146.666984154,74.61329911191595,71.55335426046074,66.22040706118561,13
61593,-0.5082187289925005,-274146.67225147,-274146.666984154,77.93873549028189,40.05057364604205,41.9497528032222,13
23105,7.158998411291149,-274146.592786364,-274146.666984154,28.78336522668411,59.85285301886244,69.82810502319707,11
35057,0.9787901503990347,-274146.656839709,-274146.666984154,43.174909820183345,82.10647041246206,43.88816587485747,11
70267,0.6123619143394621,-274146.66063747,-274146.666984154,90.08294516665336,12.718212613328948,50.78277423007397,13
9847,2.243340613748285,-274146.643733567,-274146.666984154,11.75857335088504,49.94415261397276,42.77892648650263,11
35051,0.6511111961462143,-274146.660235862,-274146.666984154,41.78799489220701,28.29198953374193,65.10912523940387,13
39855,0.12593815789476717,-274146.665678897,-274146.666984154,49.04212337110228,37.58926365264862,55.30287092554725,13
